[2026-09-08 16:03:40,632: INFO: main: Welcome to our custom log]
[2026-09-09 23:25:25,586: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-09-09 23:25:25,589: INFO: common: yaml file: params.yaml loaded successfully]
[2026-09-09 23:30:25,229: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-09-09 23:30:25,231: INFO: common: yaml file: params.yaml loaded successfully]
[2026-09-10 16:39:16,464: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-09-10 16:39:16,465: INFO: common: yaml file: params.yaml loaded successfully]
[2026-09-10 16:45:48,269: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-09-10 16:45:48,272: INFO: common: yaml file: params.yaml loaded successfully]
[2026-09-10 16:45:48,272: INFO: common: created directory at: artifacts]
[2026-09-10 16:45:48,273: INFO: common: created directory at: artifacts/data_ingestion]
[2026-09-10 16:45:48,275: INFO: 2085442592: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-09-10 16:45:55,613: INFO: 2085442592: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
